sr_no,date,startup,industry,sub_vertical,city,investors,investment_type,amount_usd,amount_inr_crore,year,month
549,2017-10-16,KrazyBee,Consumer Internet,Micro-lending platform,Bengaluru,"Xiaomi Technologies, Shunwei Capital",Private Equity,8000000.0,67.2,2017,October
550,2017-10-16,Renew Buy,Consumer Internet,Online Insurance Aggregator,New Delhi,Amicus Capital,Private Equity,9200000.0,77.28,2017,October
551,2017-10-17,Fingerlix,Consumer Internet,Food Ordering Portal,Bengaluru,"Accel Partners, Zephyr Peacock",Private Equity,7000000.0,58.8,2017,October
552,2017-10-18,Bank Bazaar,Consumer Internet,Online Financial Marketplace,Chennai,Experian,Private Equity,7000000.0,58.8,2017,October
553,2017-10-18,Hasura,Technology,App building platform,Chennai,"Nexus, Gree Ventures",Private Equity,0.0,0.0,2017,October
554,2017-10-18,BlackBuck,Logistics,B2B Logistics provider,Bengaluru,Innoven Capital,Private Equity,7700000.0,64.68,2017,October
555,2017-10-18,LenDen Club,Consumer Internet,Online peer-to-peer lending platform,Mumbai,3 Undisclosed Investors,Seed Funding,500000.0,4.2,2017,October
556,2017-10-23,Toppr,Consumer Internet,Mobile based learning app,Mumbai,"Saif Partners, Helion Ventures, Fil Capital Management",Private Equity,7000000.0,58.8,2017,October
557,2017-10-23,RAW Pressery,Food & Beverage,Cold pressed Juice maker,Mumbai,"Dsg Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,6000000.0,50.4,2017,October
558,2017-10-23,Cashe,Consumer Internet,app-only lending platform,Mumbai,Ifmr Capital,Debt Funding,3100000.0,26.04,2017,October
559,2017-10-23,Park Easy,Consumer Internet,Machine learning based parking discovery,Kolkata,Rockstart Accelerator,Seed Funding,118000.0,0.99,2017,October
560,2017-10-24,TagBox,Technology,Cold Chain monitoring solution,Bengaluru,"Indian Angel Network, Ian Fund",Seed Funding,0.0,0.0,2017,October
561,2017-10-24,FYRE,Food & Beverage,Herbal energy shot maker,Mumbai,Venture Catalysts,Seed Funding,500000.0,4.2,2017,October
562,2017-10-24,ZipLoan,Consumer Internet,SME lending platform,New Delhi,"Matrix Partners India, Waterbridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,3000000.0,25.2,2017,October
563,2017-10-24,Skillenza,Consumer Internet,Online Learning Platform,Bengaluru,"Blume Ventures, Indian Angel Network",Seed Funding,722000.0,6.06,2017,October
564,2017-10-24,Chevon,Food & Beverage,Frozen Meat provider,Mumbai,Greenfield Advisory,Private Equity,0.0,0.0,2017,October
565,2017-10-25,PropStory,Consumer Internet,Real Estate content portal,Gurugram,"Abhishek Bhatewara, Vivek Shah, Haitong Securities, Suraj Saharan, Paras Arora",Seed Funding,0.0,0.0,2017,October
566,2017-10-25,SpotDraft,Consumer Internet,Contract Automation,Gurugram,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Funding,550000.0,4.62,2017,October
567,2017-10-26,Big Basket,eCommerce,Online Grocery portal,Bengaluru,Helion Ventures Partners,Private Equity,5000000.0,42.0,2017,October
568,2017-10-27,OfBusiness,Technology,B2B Finance & Fulfilment Network,Gurugram,Kotak Mahindra Bank,Debt Funding,3800000.0,31.92,2017,October
569,2017-10-27,Olly Credit,Technology,Credit + payment mobile app,New Delhi,"Incubate Fund, Sandesh Kirkire, Anand Kumar, Yogesh Chaudhary",Seed Funding,0.0,0.0,2017,October
570,2017-10-28,CashFree,Technology,Payments Platform for Marketplaces and Fintechs,New Delhi,Y Combinator,Seed Funding,120000.0,1.01,2017,October
571,2017-10-28,Ola Cabs,Consumer Internet,App based cab hailing services,Bengaluru,Ani Technologies Pvt. Ltd,Private Equity,7700000.0,64.68,2017,October
572,2017-10-30,GoldFarm,Food & Beverage,Agriculture Technology,Coimbatore,Mahindra & Mahindra And Infuse Ventures,Private Equity,2000000.0,16.8,2017,October
573,2017-10-31,NetMeds,ECommerce,Online Pharmacy,Chennai,Tanncam Investment & Sistema Asia Fund,Private Equity,14000000.0,117.6,2017,October
574,2017-10-31,MSE,Finance,Equity Stock Exchange,Mumbai,"Il&Fs, Trust Capital, Rosy Blue Securities, Radhakrishan Damani And Rakesh Jhunjhunwala",Private Equity,32000000.0,268.8,2017,October
575,2017-09-01,Aahaa Stores,eCommece,Online B2B store for office supplies,Chennai,Yournest Angel Fund,Private Equity,1000000.0,8.4,2017,September
576,2017-09-01,MFine,Consumer Internet,Online Doctor Discovery platform,Bengaluru,"Stellaris Venture Partners, Mayur Abhaya, Rohit Ma",Private Equity,1500000.0,12.6,2017,September
577,2017-09-01,Canvera,Consumer Internet,Online Photography platform,Mumbai,Info Edge,Private Equity,1300000.0,10.92,2017,September
578,2017-09-04,PrimaryIO,Technology,Application Performance Acceleration,Pune,"Accel Partners, Exfinity Ventures, Partech Ventures",Private Equity,5600000.0,47.04,2017,September
579,2017-09-05,Shubh Loans,Consumer Internet,online lending platform,Bengaluru,"Sri Capital, Beenext, Pravega Ventures",Private Equity,1500000.0,12.6,2017,September
580,2017-09-05,Nest Education,Technology,EduTech Platform,Gurugram,"Michael And Susan Dell Foundation, Anand Mahindra",Seed Funding,600000.0,5.04,2017,September
581,2017-09-06,Lending Kart,Consumer Internet,Online Lending Platform,Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,10750000.0,90.3,2017,September
582,2017-09-06,GoFro,Consumer Internet,Online travel booking platform,New Delhi,"His Co. Ltd, Makemytrip",Private Equity,10000000.0,84.0,2017,September
583,2017-09-06,OncoStem,Healthcare,Medical Diagnostic Solutions,Bengaluru,"Sequoia Capital India, Artiman Ventures",Private Equity,6000000.0,50.4,2017,September
584,2017-09-06,Power2SME,eCommerce,Buying Club for Small Businesses,Gurugram,"International Finance Corporation, Inventus Capital Partners, Accel Partners, Kalaari Capital, And Nandan Nilekani,",Private Equity,26000000.0,218.4,2017,September
585,2017-09-07,Credit Vidya,Consumer Internet,Online Credit scoring platform,Mumbai,Matrix Partners,Private Equity,5000000.0,42.0,2017,September
586,2017-09-07,Tails Life,Consumer Internet,Pet care portal & mobile app,Bengaluru,V Balakrishnan.,Private Equity,0.0,0.0,2017,September
587,2017-09-07,OYO Rooms,Consumer Internet,Branded budget hotels marketplace,Gurugram,"Softbank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private Equity,250000000.0,2100.0,2017,September
588,2017-09-07,Early Salary,Consumer Internet,Online Unsecured Lending platform,Pune,Ifmr Capital,Debt Funding,780000.0,6.55,2017,September
589,2017-09-07,MamaEarth,eCommerce,online babycare products marketplace,Gurugram,Fireside Ventures,Seed Funding,0.0,0.0,2017,September
590,2017-09-07,Seniority,eCommerce,Ecommerce portal for senior citizens,Pune,Rpg Enterprises,Private Equity,1000000.0,8.4,2017,September
591,2017-09-08,AYE Finance,Consumer Internet,Micro Lending Platform,New Delhi,"Triodos Investment Management,",Debt Funding,6900000.0,57.96,2017,September
592,2017-09-08,Farmizen,Technology,Agre-Tech Mobile app,Bengaluru,"Venture Highway, Alok Mittal, Mohit Agarwal, Anuj Gupta,",Seed Funding,0.0,0.0,2017,September
593,2017-09-11,Ecom Express,Logistics,Logistics Solutions provider,New Delhi,Warburg Pincus,Private Equity,30000000.0,252.0,2017,September
594,2017-09-11,Call Health,Consumer Internet,Healthcare Services Aggregator,Hyderabad,"Sachin Tendulkar, P.V Sindhu, Pullela Gopichand",Private Equity,6200000.0,52.08,2017,September
595,2017-09-12,Sattviko,eCommerce,Health Food etailer,New Delhi,"Raman Roy, Arvind Uppal, Sonu Bhasin, G Ravishankar",Seed Funding,0.0,0.0,2017,September
596,2017-09-12,3HCare,Consumer Internet,Healthcare services portal,New Delhi,3 Undisclosed Investors,Seed Funding,100000.0,0.84,2017,September
597,2017-09-12,Tonbo Imaging,Technology,Imaging Technology for Armed Forces,Bengaluru,"Wrv Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,17000000.0,142.8,2017,September
598,2017-09-12,Get My Parking,Consumer Internet,Smart Parking Enabler,New Delhi,"Ian Fund, Beenext, Indian Angel Network",Private Equity,3000000.0,25.2,2017,September
599,2017-09-13,WittyFeed,Technology,Content marketing platform,Indore,"Anand Chandrasekaran, Apurva Chamaria, Ritesh Malik, Ashish Toshniwal, Ajeet Khurana",Seed Funding,0.0,0.0,2017,September
600,2017-09-13,Glowroad,Consumer Internet,women focussed customer-to-customer reseller network,Bengaluru,Accel Partners,Private Equity,2000000.0,16.8,2017,September
601,2017-09-13,OYO Rooms,Consumer Internet,udget hotel marketplace,Gurugram,China Lodging Group,Private Equity,10000000.0,84.0,2017,September
602,2017-09-13,Unacademy,Consumer Internet,Online learning platform,Mumbai,"Sequoia Capital India, Saif Partners, Nexus Venture Partners And Blume Ventures,",Private Equity,11500000.0,96.6,2017,September
603,2017-09-13,Heterogenous,Technology,Telecom & IoT platform,Chennai,"Chennai Angels, Keiretsu Forum & Others",Seed Funding,780000.0,6.55,2017,September
604,2017-09-14,Gurukul,Consumer Internet,co-working space provider,New Delhi,"Rohit Nanda, Rajit Nanda, Smarak Bhuyan, Sashwat Brahma,",Seed Funding,0.0,0.0,2017,September
605,2017-09-14,Smaaash,Technology,Virtual Reality gaming and entertainment platform,Mumbai,Ecl Finance,Private Equity,44000000.0,369.6,2017,September
606,2017-09-14,WheelStreet,Consumer Portal,Bike Rental Platform,Bengaluru,Y Combinator,Seed Funding,120000.0,1.01,2017,September
607,2017-09-14,Xprep,Consumer Internet,Online Tutoring Platform,New Delhi,"Rising Stars, Manish Amin, Pallav Pandey, Chavi Jafa",Private Equity,0.0,0.0,2017,September
608,2017-09-18,The Moms Co,eCommerce,Pregnancy & Baby Care product etailer,Gurugram,"Dsg Consumer Partners, Saama Capital",Private Equity,1000000.0,8.4,2017,September
609,2017-09-19,Noticeboard,Technology,"mobile-first communication platform for on-field staff,",Bengaluru,"Shamik Sharma, Aprameya Radhakrishna",Seed Funding,0.0,0.0,2017,September
610,2017-09-19,High Radius,Technology,Integrated receivables software solutions,Hyderabad,Susquehanna Growth Equity,Private Equity,50000000.0,420.0,2017,September
611,2017-09-20,HWell24 Plus,Healthcare,Technology-Empowered Healthcare Solutions,Mumbai,3 Undisclosed Investors,Seed Funding,0.0,0.0,2017,September
612,2017-09-21,SaveBC,Finance,financial services firm,Gaya,Incofin Investment Management.,Private Equity,6000000.0,50.4,2017,September
613,2017-09-21,Gaming Monk,Consumer Internet,E-sports platform,New Delhi,Advantedge,Private Equity,0.0,0.0,2017,September
614,2017-09-21,91SpringBoard,Consumer Internet,Co-working spaces,New Delhi,"Sandway Investment Ltd, Pearl Brook Holdings, Silo Holdings And Al Nour",Private Equity,0.0,0.0,2017,September
615,2017-09-21,Homergize,eCommerce,Home Furnishing & Building material marketplace,Bengaluru,Lg Chandrasekhar,Private Equity,1000000.0,8.4,2017,September
616,2017-09-22,Yatra.com,eCommerce,Online Travel Agency,Gurugram,Innoven Capital India,Debt Funding,15400000.0,129.36,2017,September
617,2017-09-22,Ace Turtle,Technology,Omni-channel web commerce solutions provider,Bengaluru,Innoven Capital,Private Equity,0.0,0.0,2017,September
618,2017-09-25,Vogo,Consumer Internet,Scooter Rental Platform,Bengaluru,Av Thomas Group,Seed Funding,0.0,0.0,2017,September
619,2017-09-25,Synup,Technology,SME Marketing Management Solution,Bengaluru,"Vertex Ventures, Prime Venture Partners.",Private Equity,6000000.0,50.4,2017,September
620,2017-09-25,Tinmen,Consumer Internet,Food Delivery platform,Hyderabad,Zomato Media Pvt. Ltd,Private Equity,0.0,0.0,2017,September
621,2017-09-25,Cropin,Technology,Crop Technology Solutions,Bengaluru,Beenext,Private Equity,0.0,0.0,2017,September
622,2017-09-25,Rapido,Consumer Internet,Bike Aggregator Mobile App,Bengaluru,Battery Road Digital Holdings Llc,Seed Funding,422000.0,3.54,2017,September
623,2017-09-25,Sportobuddy,Consumer Internet,Sports & Sport related equipment portal,Mumbai,Mehul Shah,Seed Funding,150000.0,1.26,2017,September
624,2017-09-26,Credifiable,Consumer Internet,Online consumer lending platform,Bengaluru,Kae Capital,Private Equity,0.0,0.0,2017,September
625,2017-09-26,Inclov,Consumer Internet,Matchmaking app for the differently abled,Gurugram,"Rajan Anandan, Jamil Khatri, Ravi Iyer, Raghav Bahl",Seed Funding,0.0,0.0,2017,September
626,2017-09-26,Multibhashi,Consumer Internet,Language learning Mobile App,Bengaluru,"Aniruddha Malpani, Startup Oasis",Seed Funding,0.0,0.0,2017,September
627,2017-09-27,Transerve,Technology,Geospatial Technology-based SaaS solutions,Mumbai,"Il&Fs Investment Managers, Omidyar Network.",Private Equity,1600000.0,13.44,2017,September
628,2017-09-27,Fashalot,Consumer Internet,O2O fashion discovery platform,Gurugram,"Capillary Technologies, Whiteboard Capital, Yournest Angel Fund, Rajul Garg",Private Equity,0.0,0.0,2017,September
629,2017-09-27,Pitstop,Consumer Internet,Car repair and Servicing Platform,Bengaluru,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan And Rahul Garg",Private Equity,1000000.0,8.4,2017,September
630,2017-09-27,GoChoppers,Consumer Internet,Luxury Helicopter Tourism Services portal,Gurugram,"Rivergate Capital,",Seed Funding,0.0,0.0,2017,September
631,2017-09-27,MyUpchar,Consumer Internet,Local Language Health Information portal,New Delhi,Letsventure,Seed Funding,300000.0,2.52,2017,September
632,2017-09-28,Aadyah,Technology,Defense Tech & Aerospace startup,Bengaluru,Keiretsu Forum,Private Equity,1000000.0,8.4,2017,September
633,2017-08-01,TouchKin,Technology,Predictive Care Platform,Bengaluru,Kae Capital,Private Equity,1300000.0,10.92,2017,August
634,2017-08-02,Ethinos,Technology,Digital Marketing Agency,Mumbai,Triton Investment Advisors,Private Equity,0.0,0.0,2017,August
635,2017-08-02,Leverage Edu,Consumer Internet,Online platform for Higher Education Services,New Delhi,"Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva Nt, Arjun Mehta, Satish Kaul, Anindya Ghose",Seed Funding,0.0,0.0,2017,August
636,2017-08-02,Zepo,Consumer Internet,DIY Ecommerce platform,Mumbai,"Kunal Shah, Letsventure, Anupam Mittal, Hetal Sonpal",Seed Funding,500000.0,4.2,2017,August
637,2017-08-02,Click2Clinic,Consumer Internet,healthcare service aggregator,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed Funding,850000.0,7.14,2017,August
638,2017-08-03,SpeedBox,Logistics,On-Demand Logistics Service provider,Mumbai,Cismat Cargo Services Pvt. Ltd.,Seed Funding,300000.0,2.52,2017,August
639,2017-08-03,Skill Connect,Consumer Internet,Recruitment Portal,Jaipur,Rajasthan Angel Innovators Network,Seed Funding,0.0,0.0,2017,August
640,2017-08-03,Chai Point,Consumer Internet,Tea Delivery Portal & offline stores,Bengaluru,"Dsg Consumer Partners, Eight Roads Ventures India",Private Equity,0.0,0.0,2017,August
641,2017-08-03,Zoctr,Consumer Internet,Health Products & Services Aggregator,Mumbai,Sidbi,Private Equity,0.0,0.0,2017,August
642,2017-08-04,Lime Tray,Technology,Restaurant Management Solutions,New Delhi,Jsw Ventures,Private Equity,0.0,0.0,2017,August
643,2017-08-04,CoutLoot,eCommerce,Fashion Resale Marketplace,Mumbai,"Anuj Puri, Redcliffe Capital, Artha India Ventures, Siddharth Kothari, Apoorv Ranjan Sharma,",Seed Funding,0.0,0.0,2017,August
644,2017-08-04,Box My Space,Logistics,Warehouse Aggregator,Mumbai,"R. Jayakumar, Vaibhav Vohra, Aditya Vazirani, Rhea Vazirani, Avn Business Solutions, Dreamweaver Investments",Seed Funding,0.0,0.0,2017,August
645,2017-08-05,Curatio,Healthcare,Skincare Speciality services,Chennai,Anicut Capital,Private Equity,0.0,0.0,2017,August
646,2017-08-08,New Castle Technologies,Technology,Hospital Management Software,Chennai,3 Undisclosed Investors,Seed Funding,243000.0,2.04,2017,August
647,2017-08-08,My Forex Eye,Consumer Internet,foreign exchange services,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma And Others",Seed Funding,220000.0,1.85,2017,August
648,2017-08-09,TruxApp,Logistics,Mobile based Logistics Service,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian Family & Others",Seed Funding,3100000.0,26.04,2017,August
649,2017-08-09,CroFarm,Technology,Agriculture Supply Chain solutions,Gurugram,Factor[E] Ventures,Seed Funding,783000.0,6.58,2017,August
650,2017-08-09,DoodhWala,Consumer Internet,Online milk delivery,Bengaluru,Tom Varkey,Seed Funding,0.0,0.0,2017,August
651,2017-08-10,Stayabode,Consumer Internet,Co-Living space aggregator,Bengaluru,"Incubate Fund, Sanjay Shenoy, Mridul Upreti,",Private Equity,0.0,0.0,2017,August
652,2017-08-11,Flipkart,eCommerce,Online Marketplace,Bengaluru,Softbank,Private Equity,2500000000.0,21000.0,2017,August
653,2017-08-11,Moong Labs,Technology,Mobile games developer,New Delhi,Nazara Games,Private Equity,0.0,0.0,2017,August
654,2017-08-11,Ola Cabs,Consumer Internet,App based cab aggregation Service,Gurugram,Kae Capital Management,Private Equity,36000000.0,302.4,2017,August
655,2017-08-14,Sports Flashes,Consumer Internet,Sports Content Mobile App,New Delhi,Bennett Coleman And Company Ltd,Private Equity,0.0,0.0,2017,August
656,2017-08-14,Digilend,Technology,Personal Loans & EMI solutions platform,Mumbai,"Incred Finance, Fullerton India Credit Company Ltd",Seed Funding,312000.0,2.62,2017,August
657,2017-08-15,KNAB Finance,Consumer Internet,Unsecured Small Business Loans,Bengaluru,"Incred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed Funding,385000.0,3.23,2017,August
658,2017-08-17,Get Simpl,Consumer Internet,Payment Solution Mobile app,Mumbai,"Green Visor Capital Lp Ii, Ia Venture Strategies Fund Ii Lp, Boillot Family Trust, Russell M Byrne, The Oliver R. Grace, Jr. Millennium Trust, Sf Capital Investments Lp",Seed Funding,0.0,0.0,2017,August
659,2017-08-20,Rootefy,eCommerce,Building material online store,New Delhi,"Abhinav Gupta,",Seed Funding,187000.0,1.57,2017,August
660,2017-08-21,Uniphore,Technology,speech recognition startup,Chennai,Idg Ventures,Private Equity,6800000.0,57.12,2017,August
661,2017-08-21,Cerebroz,Consumer Internet,E-Tech platform,Vadodara,Undisclosed Hni\\Xe2\\X80\\X99S,Seed Funding,734000.0,6.17,2017,August
662,2017-08-22,Flochat,Consumer Internet,instant messaging platform,Mumbai,"Isquare Global,",Seed Funding,0.0,0.0,2017,August
663,2017-08-22,EasyGov,Consumer Internet,Govt service application portal,Noida,"Social Alpha, Rajan Anandan, Rajeev Ahuja, Kshitij Arora",Seed Funding,0.0,0.0,2017,August
664,2017-08-23,Milk Basket,Consumer Internet,Online Grocery platform,Gurugram,Blume Ventures. Lenovo Capital And Incubator Group,Seed Funding,0.0,0.0,2017,August
665,2017-08-23,Dhruva,Technology,Cloud data protection and management solutions,Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Private Equity,80000000.0,672.0,2017,August
666,2017-08-23,Bombay Shaving Company,eCommerce,Men Grooming product etailer,New Delhi,Fireside Ventures,Private Equity,2300000.0,19.32,2017,August
667,2017-08-23,Awign,Technology,Operations and manpower outsourcing,Bengaluru,"Iit Ropar, Imanpreet Singh Arora, Sidharth Rozario, Saurabh Abichandani, Shikhar Gupta,",Seed Funding,0.0,0.0,2017,August
668,2017-08-23,Indiez,Technology,Software & Mobile app development platform,Bengaluru,Haresh Chawla,Seed Funding,500000.0,4.2,2017,August
669,2017-08-24,Ezetap,Technology,mPOS solutions provider,Bengaluru,"Js Capital Management, Social Capital, Horizons Ventures,",Private Equity,16000000.0,134.4,2017,August
670,2017-08-25,Ink Monk,Consumer Internet,Online printing marketplace,Chennai,"Vamm Ventures, Raksul, Dena",Seed Funding,750000.0,6.3,2017,August
671,2017-08-25,Medinfi,Consumer Internet,Online Doctor Discovery Platform,Bengaluru,"Pbs Srinivas, Vinod Martin,",Seed Funding,125000.0,1.05,2017,August
672,2017-08-28,Mobikon,Technology,Restaurant & Hotel CRM platform,Pune,"Sistema Asia Fund, C31 Ventures, Qualgro.",Private Equity,7000000.0,58.8,2017,August
673,2017-08-29,CureFit,Consumer Internet,End to End health and wellness platform.,Bengaluru,"Accel Partners, Idg Ventures, Kalaari Capital,\\Xc2\\Xa0 Uc-Rnt Fund",Private Equity,25000000.0,210.0,2017,August
674,2017-08-29,Doxper,Technology,Healthtech IoT platform,Mumbai,"Idal Health, Growx Ventures, Capier Investments, Globevestor & Others",Seed Funding,750000.0,6.3,2017,August
675,2017-08-29,Fieldassist,Technology,SAAS based sales force automation services,Gurugram,Mall Industries Development Bank Of India,Debt Funding,0.0,0.0,2017,August
676,2017-08-30,Treebo,Consumer Internet,Budget Hotel Aggregator platform,Bengaluru,"Ward Ferry Management And Karst Peak Capital,",Private Equity,34000000.0,285.6,2017,August
677,2017-08-30,MedGenome,Technology,Genomics Research and Diagnostics Solutions,Bengaluru,"Sequoia India, Sofina S.A., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,",Private Equity,30000000.0,252.0,2017,August
678,2017-07-01,Billion Loans,Consumer Internet,Peer to Peer Lending platform,Bengaluru,Reliance Corporate Advisory Services Ltd,Seed Funding,1000000.0,8.4,2017,July
679,2017-07-03,Ecolibriumenergy,Technology,Energy management solutions provider,Ahmedabad,"Infuse Ventures, Jll",Private Equity,2600000.0,21.84,2017,July
680,2017-07-04,Droom,eCommerce,Online marketplace for automobiles,Gurugram,"Asset Management Ltd, Digital Garage Inc",Private Equity,20000000.0,168.0,2017,July
681,2017-07-05,Jumbotail,eCommerce,online marketplace for food and grocery,Bengaluru,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,8500000.0,71.4,2017,July
682,2017-07-05,Moglix,eCommerce,B2B marketplace for Industrial products,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,12000000.0,100.8,2017,July
683,2017-07-05,Timesaverz,Consumer Internet,Hyperlocal home services provider,Mumbai,Bccl,Private Equity,1000000.0,8.4,2017,July
684,2017-07-06,Minjar,Technology,Cloud Solutions provider,Bengaluru,"Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs",Seed Funding,0.0,0.0,2017,July
685,2017-07-06,MyCity4kids,Consumer Internet,parenting blog and kids\\xe2\\x80\\x99 events discovery platform,Gurugram,Undisclosed,Seed Funding,0.0,0.0,2017,July
686,2017-07-07,Clip App,Consumer Internet,Digital Media Video platform,Bengaluru,"India Quotient, Shunwei Capital",Seed Funding,1000000.0,8.4,2017,July
687,2017-07-07,Upwardly.in,Consumer Internet,MF investment platform,Bengaluru,"Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures",Seed Funding,0.0,0.0,2017,July
688,2017-07-10,Autorox.co,Technology,Workshop Management Software Platform,Hyderabad,Mitsui & Co.,Private Equity,3000000.0,25.2,2017,July
689,2017-07-11,Fabogo,Consumer Internet,Salon & Spa Aggregation & Discovery platform,Pune,Dunamis Ventures Pte Ltd,Private Equity,2250000.0,18.9,2017,July
690,2017-07-11,Flickstree,Consumer Internet,Video Content Discovery Platform,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding,464000.0,3.9,2017,July
691,2017-07-11,Design Cafe,Consumer Internet,Online Interior Design platform,Bengaluru,"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital",Seed Funding,0.0,0.0,2017,July
692,2017-07-12,Innoviti,Technology,Digital payments solutions,Bengaluru,"Sbi-Fmo Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,18500000.0,155.4,2017,July
693,2017-07-12,VDeliver,Logistics,Door Step Delivery platform,Hyderabad,"Corvus Ventures, Mape Advisory Group",Private Equity,0.0,0.0,2017,July
694,2017-07-12,Bottr.me,Technology,Chatbot creation tool,Bengaluru,"500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta",Seed Funding,0.0,0.0,2017,July
695,2017-07-12,Arcatron,Technology,Next Gen Mobility device manufacturer,Pune,"Idg, Indian Angel Network",Seed Funding,0.0,0.0,2017,July
696,2017-07-14,QwikSpec,Technology,Construction site operations and analytics platform,Bengaluru,"Brigade Innovations Llp, Tv Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding,540000.0,4.54,2017,July
697,2017-07-14,Chumbak,eCommerce,Designer consumer products Marketplace,Bengaluru,Blacksoil Capital Pvt Ltd,Private Equity,1700000.0,14.28,2017,July
698,2017-07-17,Increff,Technology,Sales Solutions for Fashion Brands,Bengaluru,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed Funding,2000000.0,16.8,2017,July
699,2017-07-17,Vayana,Technology,Enterprise Banking Solutions,Pune,"Idg Ventures India Advisors, Jungle Ventures",Private Equity,4000000.0,33.6,2017,July
700,2017-07-18,MObiquest,Technology,Mobile Services & Solutions,Noida,One97 Communication Ltd,Private Equity,0.0,0.0,2017,July
701,2017-07-18,Ambee,Consumer Internet,Ambulance Aggregation Services,Hyderabad,"Uber Technologies Inc, Amaya Capital Llp",Seed Funding,0.0,0.0,2017,July
702,2017-07-18,Ideal Insurance,Consumer Internet,Online Insurance platform,Kolkata,Xelpmoc,Seed Funding,0.0,0.0,2017,July
703,2017-07-18,Hypernova Interactive,Technology,Mobile games creator,Bengaluru,Kae Capital,Seed Funding,0.0,0.0,2017,July
704,2017-07-19,Rentomojo,Consumer Internet,Consumer Leasing Platform,Bengaluru,"Ain Capital Ventures, Renaud Laplanche",Private Equity,10000000.0,84.0,2017,July
705,2017-07-19,AirCTO,Consumer Internet,AI powered recruitment platform,Bengaluru,Francesco Cara,Seed Funding,0.0,0.0,2017,July
706,2017-07-19,Playablo,Technology,Gamified Learning App,Bengaluru,Abi-Showatech Ltd,Seed Funding,600000.0,5.04,2017,July
707,2017-07-20,Trupay,Technology,Online payments platform,Gurugram,"Kae Capital, M&S Partners,",Seed Funding,700000.0,5.88,2017,July
708,2017-07-21,Brick2Wall,eCommerce,Online Marketplace for Construction Material,Gurugram,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed Funding,200000.0,1.68,2017,July
709,2017-07-21,FableStreet,eCommerce,Women Work wear etailer,New Delhi,"Harmeet Bajaj, Pameela P, Fusiontech Ventures & Others",Seed Funding,0.0,0.0,2017,July
710,2017-07-21,Monsoon Fintech,Technology,Machine Learning Access platform,New Delhi,"Sunil Kalra, Aditya Singh, Rishi Srivastava, Rajan Anandan",Seed Funding,0.0,0.0,2017,July
711,2017-07-21,MonkeyBox,Consumer Internet,Healthy Food Delivery Platform,Bengaluru,"Blume Ventures, Nb Ventures, Nspira",Seed Funding,0.0,0.0,2017,July
712,2017-07-25,Noticeboard,Consumer Internet,Mobile-first Enterprise communication platform,Bengaluru,Stellaris Venture Partners,Private Equity,1200000.0,10.08,2017,July
713,2017-07-25,Byju\\xe2\\x80\\x99s,Consumer Internet,Mobile Learning App,Bengaluru,Tencent Holdings,Private Equity,35000000.0,294.0,2017,July
714,2017-07-26,Creator\\xe2\\x80\\x99s Gurukul,Others,Co-Working Space Provider,New Delhi,Yuvraj Singh,Seed Funding,0.0,0.0,2017,July
715,2017-07-26,Fab Hotels,Consumer Internet,Budget hotels brand & Aggregator Platform,New Delhi,Goldman Sachs,Private Equity,25000000.0,210.0,2017,July
716,2017-07-26,ThinkerBell,Consumer Internet,Assisted Learning Startup,Bengaluru,"Indian Angel Network, Anand Mahindra",Seed Funding,200000.0,1.68,2017,July
