sr_no,date,startup,industry,sub_vertical,city,investors,investment_type,amount_usd,amount_inr_crore,year,month
2596,2015-07-08,33Coupons,Coupon Aggregator Platform,Other,Kanpur,Not Disclosed,Seed Funding,20000.0,0.17,2015,July
2597,2015-07-08,Ampere,Electric Scooter manufacturer,Other,Coimbatore,Rata Tata,Seed Funding,0.0,0.0,2015,July
2598,2015-07-08,Hopping Chef,Online Food-Tech Platform,Other,Mumbai,Mirah Hospitality,Seed Funding,470000.0,3.95,2015,July
2599,2015-07-08,Collectabillia,Celebrity Fashion Brand,Other,Bengaluru,Accel Partners,Private Equity,7500000.0,63.0,2015,July
2600,2015-07-08,Lendingkart,Online Finance lending platform,Other,Ahmedabad,"Saama Capital, Mayfield, Ashvin Chadha, Shailesh Mehta",Private Equity,10000000.0,84.0,2015,July
2601,2015-07-08,Lybrate,Healthcare Mobile App,Other,New Delhi,"Tiger Global Management, Ratan Tata, Nexus Venture Partners",Private Equity,10200000.0,85.68,2015,July
2602,2015-07-08,Zoomcar,Self-driven vehicle rental,Other,Bengaluru,"Sequoia Capital, Empire Angels, Ngp",Private Equity,11000000.0,92.4,2015,July
2603,2015-07-09,\\xc2\\xa0News in shorts,\\xc2\\xa0News Aggregator mobile app,Other,\\xc2\\xa0Noida,\\Xc2\\Xa0Tiger Global,Private Equity,0.0,0.0,2015,July
2604,2015-07-09,\\xc2\\xa0Bluestone,\\xc2\\xa0Online Jewellery Store,Other,\\xc2\\xa0Bangalore,"\\Xc2\\Xa0Ivycap Ventures, Accel Partners, Dragoneer Investment Group",Private Equity,0.0,0.0,2015,July
2605,2015-07-09,\\xc2\\xa0Shopsity,\\xc2\\xa0Fashion Info Aggregator App,Other,\\xc2\\xa0Gurgaon,"\\Xc2\\Xa0 Sandeep Aggarwal, Teruhide Sato",Seed Funding,0.0,0.0,2015,July
2606,2015-07-09,\\xc2\\xa0Notesgen,\\xc2\\xa0Online Study Notes Marketplace,Other,\\xc2\\xa0New Delhi,"\\Xc2\\Xa0Rajeev Saraf, Arvind Jha, R. Satya Narayanan",Seed Funding,0.0,0.0,2015,July
2607,,\\xc2\\xa0Infinity Assurance,\\xc2\\xa0Warranty Programs Service Administration,Other,\\xc2\\xa0New Delhi,\\Xc2\\Xa0Indian Angel Network,Seed Funding,0.0,0.0,2016,Unknown
2608,2015-07-10,\\xc2\\xa0Footprints Education,\\xc2\\xa0Pre-School Chain,Other,\\xc2\\xa0Gurgaon,"\\Xc2\\Xa0Letsventure, Kumar Bansal, Kshitij Jain",Seed Funding,0.0,0.0,2015,July
2609,2015-07-10,\\xc2\\xa0Loylty Rewards,\\xc2\\xa0Premium Loyalty Rewards Point Management,Other,\\xc2\\xa0Mumbai,\\Xc2\\Xa0Indianideas.Com,Private Equity,0.0,0.0,2015,July
2610,2015-07-13,\\xc2\\xa0Ameyo,\\xc2\\xa0Contact Center Software Platform,Other,\\xc2\\xa0Gurgaon,\\Xc2\\Xa0Forum Synergies Pe Fund,Private Equity,0.0,0.0,2015,July
2611,2015-07-13,\\xc2\\xa0Mamagoto,\\xc2\\xa0Casual Dining restaurant Chain,Other,\\xc2\\xa0New Delhi,\\Xc2\\Xa0Goldman Sachs,Private Equity,0.0,0.0,2015,July
2612,2015-07-13,\\xc2\\xa0Satvacart,\\xc2\\xa0Online Grocery Delivery,Other,\\xc2\\xa0Gurgaon,\\Xc2\\Xa0Palaash Ventures,Seed Funding,0.0,0.0,2015,July
2613,2015-07-14,MySmartPrice,Online comparison engine,Other,Hyderabad,"Accel Partners, Helion Venture Partners",Private Equity,10000000.0,84.0,2015,July
